,pretty_formula,bandgap,cell_length_a,cell_lentgh_b,cell_lentgh_c,cell_angle_alpha,cell_angle_beta,cell_angle_gamma
1891,Li4Mn3Co(PO4)4,1.9346,6.11880000,4.77475900,10.52859778,89.80057502,90.00000000,90.00000000
1892,Li2VCrP2(HO5)2,1.9194,5.16585700,7.38838989,15.15866793,94.11483301,92.07554091,108.93428913
1893,Li10Co(SiO5)2,1.9432,5.18435300,6.17534200,15.34257844,101.56726024,99.12685890,89.99801447
1894,Li6Cr5(P2O7)4,1.9139,9.17391700,10.81002190,12.90252229,89.82521380,106.40662449,111.46751410
1895,TaSb3O8,1.9390999999999998,5.57879800,4.96108960,23.91264076,90.00410259,90.04287005,90.02807570
1896,Li3VF7,1.9246000000000003,5.80731696,5.80731696,5.80731708,63.76151931,63.76151931,63.76151663
1897,NaMnO4,1.94,5.40504428,5.40504428,7.04613100,90.00000000,90.00000000,114.01403197
1898,Li2VF6,1.9326,5.80893364,5.80893364,4.87355900,90.00000000,90.00000000,119.99999593
1899,LiVF5,1.9428,7.46263200,6.49120000,14.81682043,85.25607004,90.00000000,90.00000000
1900,Hf2N2O,1.9257999999999997,7.01107057,7.01107057,8.19391503,80.18130199,80.18130199,26.98467196
1901,LiFe2(BO3)2,1.9403,5.20982000,9.08865225,10.21663069,88.87542442,89.06481516,89.64216431
1902,V6O5F19,1.9380000000000002,5.39191600,5.55645265,14.85956211,100.64274120,89.48300094,92.89731271
1903,NaSbO3,1.9295999999999998,8.10530600,8.16446304,8.24757755,109.39925254,109.31935902,108.45155726
1904,LiV2OF7,1.9375,5.85617859,8.71600313,5.87151867,91.29123501,95.88104931,88.89142445
1905,Zn2Hg2H2S2O11,1.9124,6.20824700,11.41969800,13.27055400,90.00000000,90.00000000,90.00000000
1906,Li5FeO3F,1.9448999999999999,7.48641465,7.48642134,9.02340477,110.57333246,70.41222513,80.07522595
1907,LiVO3,1.9411999999999998,4.95027624,4.95027624,5.36632691,77.40280801,77.40280801,115.82903879
1908,LiVGeO5,1.9331,6.53080459,6.53080459,4.64482700,90.00000000,90.00000000,91.14793824
1909,V3OF11,1.9363,5.27472300,5.42271300,14.93741363,79.76538220,90.00000000,90.00000000
1910,LiVOF3,1.9093,7.02492835,7.02492835,4.72606182,70.86729880,70.86729880,39.33884358
1911,K3SiTe3,1.9175999999999997,8.50561201,8.50561201,8.98214734,74.67172532,74.67172532,109.72442493
1912,NaMnO4,1.9225,8.49504600,5.73518000,9.05508819,52.84565746,90.00000000,90.00000000
1913,ZnNi4O5,1.9126000000000003,6.71433092,6.71433092,9.96149026,78.29798320,78.29798320,25.86628924
1914,PWO5,1.9237,5.38643400,5.40826379,7.41760926,107.10097578,107.56797166,97.95235454
1915,Li4MnFe2(BO3)4,1.9108000000000003,9.00665500,5.29164700,11.20197904,62.71151522,90.00000000,90.00000000
1916,LiVF5,1.9129999999999998,5.21881100,7.48378200,10.45894000,90.00000000,90.00000000,90.00000000
1917,Li2V3Si3O10,1.9249999999999998,8.28099422,8.28099422,10.61678525,87.38722609,87.38722609,34.17261988
1918,Li4MnCr3(PO4)4,1.9104999999999999,6.31625300,4.77923600,10.32667475,89.35086502,90.00000000,90.00000000
1919,NaVPCO7,1.9214000000000002,6.30323400,10.66919428,10.53054239,117.91773969,90.00141554,90.00053688
1920,Li4Bi2C4SO16,1.9199000000000002,10.06235583,9.64386396,10.18860185,59.16848703,58.27446298,63.10846568
1921,LiLa5Ti8O24,1.9309000000000003,8.70633216,8.70633216,8.76476493,66.62453514,66.62453514,53.17564950
1922,Li4CrFe3O8,1.9207999999999998,5.19603164,5.96928957,10.75608966,106.06307915,85.41294809,73.19355593
1923,LiBi3O5,1.9093999999999998,6.44207300,8.02631400,10.16224900,90.00000000,90.00000000,90.00000000
1924,Bi3BO6,1.9177999999999997,4.94767500,9.84630600,12.42981700,90.00000000,90.00000000,90.00000000
1925,Li4VCr3O8,1.9238000000000004,5.13936800,5.96145761,10.70666425,98.10976177,103.68721318,106.91485886
1926,Li4V3CrO8,1.9340000000000002,5.17035800,7.91002197,7.91484516,81.97444303,83.75237736,70.96499601
1927,Li2VCrO4,1.9310999999999998,5.15992000,5.17925799,8.94967362,90.10136343,106.68637291,99.48897302
1928,Li4V3CrO8,1.9346,5.17703685,5.98331146,10.78264853,106.02238588,85.40812797,73.14908818
1929,V2(SO4)3,1.913,8.68476200,8.50329400,14.60751118,54.96074182,90.00000000,90.00000000
1930,MgMnO3,1.9194999999999998,5.46434102,5.46433445,5.46433647,54.72205635,54.72199793,54.72198988
1931,V3(PO4)2,1.9158999999999997,8.79027991,9.34978781,9.70916895,116.71194822,92.42121237,113.47214694
1932,Li6CrSn3(PO4)6,1.9426,8.51566600,8.63150588,8.66443522,63.69448426,65.25680212,64.52298080
1933,Li2Cr3SbO8,1.9368000000000003,5.96407400,9.66574152,5.95483993,89.93543071,60.05108843,89.96854043
1934,Na2VSiCO7,1.918,6.61829800,10.28227761,10.77602201,118.28733134,90.00000532,90.00000000
1935,Sb4I2O5,1.9316,5.29847600,7.09031300,13.97119221,84.21867259,90.00000000,90.00000000
1936,Li2V5B3O13,1.9400999999999997,3.23444800,9.61664900,15.12135374,73.53362095,90.00000000,90.00000000
1937,Li6V2B4SO16,1.9205,9.46056264,9.46056264,9.46056264,60.00000000,60.00000000,60.00000000
1938,Rb2UO4,1.9262,7.74454998,7.74454998,7.74454998,147.08485125,147.08485125,47.23816250
1939,H12RuSN4(ClO)2,1.9294000000000002,7.42255700,9.40371500,14.17945600,90.00000000,90.00000000,90.00000000
1940,Nb2PbO6,1.9287999999999998,12.99899034,12.99899034,7.90381100,90.00000000,90.00000000,92.01017660
1941,Fe4OF7,1.9260000000000002,4.81036900,6.48787020,10.15955766,71.55222871,89.19567162,89.73729691
1942,Li2VO2,1.9101000000000004,3.23017336,3.23017336,5.19309900,90.00000000,90.00000000,119.99998683
1943,Li3La5Ti6Nb2O26,1.9105000000000003,5.54799700,11.08620600,17.16234702,80.95824549,90.00000000,90.00000000
1944,Zr2N2O,1.9396,5.58660936,5.58660936,10.44656563,73.88798498,73.88798498,59.33592114
1945,Hf2N2O,1.9203999999999999,8.72904100,8.73031544,8.73374745,109.39131722,109.58788843,109.40362193
1946,P8W3O29,1.9217,9.93452609,9.93452609,13.81262700,90.00000000,90.00000000,120.00000063
1947,Li6Fe2O5F2,1.9382000000000001,5.91689400,5.91737694,9.96991936,93.19609549,97.05917475,118.91062888
1948,VOF2,1.9381,5.18583200,5.18740460,13.41250391,88.68015720,89.13714980,60.69916134
1949,Li2Fe2Ni(PO4)3,1.9218,8.35191735,8.44370947,8.44370917,63.70482115,63.94258678,63.94258440
1950,TiNi3Sn2(PO4)6,1.9350999999999998,8.48580732,8.48580732,8.48580723,61.44246178,61.44246178,61.44245772
1951,Li2Bi2(SO4)3,1.9109000000000003,8.88152956,8.88152956,8.99917946,66.01931275,66.01931275,68.35769675
1952,Li2VF6,1.9230999999999998,8.70872900,8.76330539,4.53017601,89.66749052,90.00000000,119.79420171
1953,Y2Sb2O7,1.9217999999999993,7.55935794,7.55935794,18.57285300,90.00000000,90.00000000,119.99999951
1954,Li4Cr2Ni3Sn(PO4)6,1.9375,8.41975200,8.69223835,8.70312840,61.78745482,62.65487996,62.55833479
1955,Li3Fe2(SiO4)2,1.9238,5.11104400,6.62236600,10.74845171,89.33925653,90.00000000,90.00000000
